start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
104.94.160.0,104.94.175.255,104.94.0.0,Buenos Aires,Buenos Aires F.D.,AR,-34.61315,-58.37723,1871,America/Argentina/Buenos_Aires
109.149.61.189,109.149.61.189,109.149.0.0,Padstow,England,GB,50.53885,-4.93664,PL28,Europe/London
109.146.181.0,109.146.181.29,109.146.0.0,London,England,GB,51.50853,-0.12574,EC1A,Europe/London
101.137.94.155,101.137.94.160,101.137.0.0,Taichung,Taiwan,TW,24.1469,120.6839,,Asia/Taipei
101.108.235.104,101.108.235.111,101.108.0.0,Huai Yot,Trang,TH,7.78937,99.63469,92130,Asia/Bangkok
104.226.14.168,104.226.14.255,104.226.0.0,West Hartford,Connecticut,US,41.76204,-72.74204,06107,America/New_York
1.146.200.144,1.146.200.147,1.146.0.0,Melbourne,Victoria,AU,-37.814,144.96332,3000,Australia/Melbourne
103.216.108.0,103.216.111.255,103.216.0.0,Hangzhou,Zhejiang,CN,30.29365,120.16142,,Asia/Shanghai
1.0.145.3,1.0.145.11,1.0.0.0,Ko Samui,Surat Thani,TH,9.53567,99.93567,84140,Asia/Bangkok
109.145.238.168,109.145.238.183,109.145.0.0,Crediton,England,GB,50.78333,-3.65,EX17,Europe/London
1.43.85.180,1.43.85.207,1.43.0.0,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
105.109.15.143,105.109.15.145,105.109.0.0,Sétif,Sétif,DZ,36.19112,5.41373,19034,Africa/Algiers
103.205.28.26,103.205.28.26,103.205.0.0,Devonport,Tasmania,AU,-41.17695,146.35152,7310,Australia/Hobart
101.112.80.64,101.112.80.71,101.112.0.0,Canberra,Australian Capital Territory,AU,-35.28346,149.12807,2600,Australia/Sydney
105.243.123.12,105.243.123.13,105.243.0.0,White River,Mpumalanga,ZA,-25.33177,31.01166,1240,Africa/Johannesburg
102.172.182.244,102.172.182.246,102.172.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
109.118.32.172,109.118.32.175,109.118.0.0,Catania,Sicily,IT,37.5166,15.0834,95125,Europe/Rome
108.208.238.0,108.208.239.255,108.208.0.0,Seaside,California,US,36.61107,-121.85162,93955,America/Los_Angeles
108.201.221.144,108.201.221.239,108.201.0.0,Sacramento,California,US,38.58157,-121.4944,94203,America/Los_Angeles
108.207.228.98,108.207.228.123,108.207.0.0,Wichita,Kansas,US,37.7048,-97.3638,67203,America/Chicago
104.51.141.249,104.51.141.250,104.51.0.0,Petoskey,Michigan,US,45.37334,-84.95533,49770,America/Detroit
103.93.26.0,103.93.26.255,103.93.0.0,Sydney,New South Wales,AU,-33.83861,151.20333,2060,Australia/Sydney
102.32.205.32,102.32.205.47,102.32.0.0,Boksburg,Gauteng,ZA,-26.2167,28.25,1469,Africa/Johannesburg
101.176.199.208,101.176.199.211,101.176.0.0,Albury,New South Wales,AU,-36.07482,146.92401,2640,Australia/Sydney
104.143.124.0,104.143.124.255,104.143.0.0,Alexandria,Virginia,US,38.80484,-77.04692,22314,America/New_York
104.3.237.0,104.3.237.127,104.3.0.0,Atlanta,Georgia,US,33.749,-84.38798,30302,America/New_York
101.119.87.110,101.119.87.135,101.119.0.0,Melbourne,Victoria,AU,-37.814,144.96332,3000,Australia/Melbourne
105.243.80.0,105.243.83.47,105.243.0.0,Cape Town,Western Cape,ZA,-33.92584,18.42322,7945,Africa/Johannesburg
105.191.71.232,105.191.71.237,105.191.0.0,Casablanca,Casablanca-Settat,MA,33.58831,-7.61138,29640,Africa/Casablanca
102.170.13.154,102.170.13.154,102.170.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
1.10.171.104,1.10.171.112,1.10.0.0,Ao Luek,Krabi,TH,8.37803,98.72117,81110,Asia/Bangkok
109.117.92.0,109.117.92.7,109.117.0.0,Catania,Sicily,IT,37.51153,15.0633,95123,Europe/Rome
107.26.249.0,107.26.249.127,107.26.0.0,Weirton,West Virginia,US,40.41896,-80.58952,26062,America/New_York
